"ADDRESS","LATITUDE","LONGTITUDE","address"
"18 BEDOK SOUTH ROAD UOB BEDOK SOUTH ROAD SINGAPORE 460018","1.32052771476512","103.934764301988","460018"
"57 NEW UPPER CHANGI ROAD OCBC NEW UPPER CHANGI ROAD - FAIRPRICE SINGAPORE 461057","1.32425201243512","103.941571885143","461057"
"54 BAYSHORE ROAD BAYSHORE PARK SINGAPORE 469979","1.31179544227276","103.936894506125","469979"
"311 NEW UPPER CHANGI ROAD OCBC BEDOK MALL - FAIRPRICE SINGAPORE 467360","1.3247936058839","103.929360375114","467360"
"209 NEW UPPER CHANGI ROAD BETHESDA COMMUNITY SINGAPORE 460209","1.32464544711794","103.931111525301","460209"
"212 BEDOK NORTH STREET 1 OCBC BEDOK NORTH ST 1 - FAIRPRICE SINGAPORE 460212","1.32591841541763","103.931686958494","460212"
"20 EASTWOOD ROAD EASTWOOD CENTRE SINGAPORE 486442","1.32154249881548","103.955535617961","486442"
"8 CHANGI BUSINESS PARK AVENUE 1 OCBC CHANGI BUSINESS PARK - FAIRPRICE SINGAPORE 486018","1.33475576593445","103.963894012338","486018"
"5 CHANGI BUSINESS PARK CENTRAL 1 OCBC CHANGI CITY POINT - FAIRPRICE SINGAPORE 486038","1.3343251596936","103.962389299537","486038"
"60 AIRPORT BOULEVARD OCBC CHANGI AIRPORT TERMINAL 2 - ARRIVAL HALL NORTH SINGAPORE 819643","1.35623975435982","103.98936496626","819643"
"65 AIRPORT BOULEVARD OCBC CHANGI AIRPORT TERMINAL 3 - ARRIVAL HALL NORTH SINGAPORE 819663","1.35556855805419","103.985852088983","819663"
"317 TANAH MERAH COAST ROAD CHANGI AIR BASE (EAST) SINGAPORE 498820","1.32736602101872","104.004244172964","498820"
"115 BEDOK NORTH ROAD PCF SPARKLETOTS PRESCHOOL @ FENGSHAN 115 (CC) SINGAPORE 460115","1.33143368792839","103.93686541135","460115"
"430 UPPER CHANGI ROAD EAST VILLAGE SINGAPORE 487048","1.3317758150305","103.946201241591","487048"
"348 BEDOK ROAD UOB BEDOK ROAD SINGAPORE 469560","1.33143623119911","103.948260304303","469560"
"89 BEDOK NORTH STREET 4 OCBC BEDOK NORTH ST 4 - FAIRPRICE SINGAPORE 460089","1.33295683726302","103.938220862136","460089"
"343 BEDOK ROAD SINGAPORE 469526","1.33127233921191","103.947268283784","469526"
"3 SIMEI STREET 6 OCBC EASTPOINT MALL - FAIRPRICE SINGAPORE 528833","1.34269199750599","103.953050756306","528833"
"10 EUNOS ROAD 8 OCBC SINGAPORE POST CENTRE - FAIRPRICE SINGAPORE 408600","1.31883826160863","103.894582338015","408600"
"60 PAYA LEBAR ROAD OCBC PAYA LEBAR SQUARE SINGAPORE 409051","1.31881486980278","103.892580778242","409051"
"5 EUNOS CRESCENT SINGAPORE 400005","1.32119096792976","103.903554516253","400005"
"11 TANJONG KATONG ROAD UOB ONE KM SINGAPORE 437157","1.31461849889242","103.894738004496","437157"
"11 TANJONG KATONG ROAD UOB ONE KM SINGAPORE 437157","1.31461849889242","103.894738004496","437157"
"612 GEYLANG ROAD SINGAPORE 389551","1.31415001272084","103.888544866086","389551"
"845 GEYLANG ROAD DBS TANJONG KATONG COMPLEX SINGAPORE 400845","1.31630706020393","103.894393505136","400845"
"498 GEYLANG ROAD GREEN COURT SINGAPORE 389456","1.313289737192","103.885153835516","389456"
"599 GEYLANG ROAD GEYLANG CONSERVATION AREA SINGAPORE 389538","1.31420608181449","103.88669948112","389538"
"1 STADIUM PLACE OCBC KALLANG WAVE - FAIRPRICE SINGAPORE 397628","1.30307157630397","103.873044700613","397628"
"5 STADIUM WALK OCBC STADIUM STATION SINGAPORE 397693","1.30230108377856","103.876473975339","397693"
"401 MACPHERSON ROAD OCBC MACPHERSON MALL - FAIRPRICE SINGAPORE 368125","1.3317705447992","103.879294500005","368125"
