"address","LATITUDE","LONGTITUDE","amenitiestype"
1,103.96085701087,1.34617500824454,"parks"
2,103.978978976056,1.38990401870983,"parks"
3,103.923130995416,1.4099130157165,"parks"
4,103.866966992109,1.37923700487091,"parks"
5,103.829073008381,1.37276100286023,"parks"
6,103.951753989584,1.3207100152588,"parks"
7,103.955191986755,1.34065899009129,"parks"
8,103.881610986055,1.36693701735687,"parks"
9,103.834277001944,1.39009800189331,"parks"
10,103.861150995157,1.38109901056076,"parks"
11,103.863473007606,1.35335001597094,"parks"
12,103.866008002092,1.36048001138245,"parks"
13,103.863388004105,1.3878569764647,"parks"
14,103.837233991568,1.38983500975178,"parks"
15,103.838591002804,1.39006498690252,"parks"
16,103.946937998833,1.3338490080587,"parks"
17,103.832785007318,1.37162600142277,"parks"
18,103.919178991455,1.32302300071578,"parks"
19,103.884842001596,1.345032012357,"parks"
20,103.877503995194,1.36602898427679,"parks"
21,103.865669002678,1.36042501254669,"parks"
22,103.892821980736,1.36956298336645,"parks"
23,103.838382992442,1.38863100316938,"parks"
24,103.966204991398,1.36195200532663,"parks"
25,103.968546996712,1.35954702875823,"parks"
26,103.832622992872,1.37869201086068,"parks"
27,103.884109015017,1.35555801355152,"parks"
28,103.862005994263,1.3485589866523,"parks"
29,103.948585989819,1.31918799226855,"parks"
30,103.837056005834,1.38528598872966,"parks"
31,103.86684100749,1.38307998862516,"parks"
32,103.867454004249,1.3575850011328,"parks"
33,103.865358006982,1.37020698685564,"parks"
34,103.924306015806,1.31559901614235,"parks"
35,103.873382001962,1.38560200214797,"parks"
36,103.880875016585,1.35333801951661,"parks"
37,103.862996003651,1.30244501399783,"parks"
38,103.845964994247,1.35013800008884,"parks"
39,103.908132009336,1.30489699274238,"parks"
40,103.877337012157,1.3344340005684,"parks"
41,103.840364994858,1.34895300431616,"parks"
42,103.863114996244,1.34262199857387,"parks"
43,103.765763004383,1.3342800030382,"parks"
44,103.833535006924,1.36211900551873,"parks"
45,103.769988997386,1.33343799865579,"parks"
46,103.767246997122,1.33473900830612,"parks"
47,103.74869600057,1.31755100565495,"parks"
48,103.774032955111,1.35319898245639,"parks"
49,103.792829540115,1.29493834487393,"parks"
50,103.717160003251,1.33980400972371,"parks"
51,103.701048000098,1.35177199512194,"parks"
52,103.764668007983,1.37060000450024,"parks"
53,103.759016001687,1.35864000916998,"parks"
54,103.761025000317,1.35536100795603,"parks"
55,103.76640600767,1.32678800198744,"parks"
56,103.731160967029,1.33605661779116,"parks"
57,103.790634518931,1.30100203775994,"parks"
58,103.764760003254,1.30875099860659,"parks"
59,103.768924998308,1.37135900584168,"parks"
60,103.776007005438,1.35020400464513,"parks"
61,103.757975999596,1.31976699701647,"parks"
62,103.760905002133,1.33982701990743,"parks"
63,103.76095898509,1.36042001623966,"parks"
64,103.773907987741,1.36271299419191,"parks"
65,103.768829994104,1.36763401414182,"parks"
66,103.764779003407,1.32769499983866,"parks"
67,103.751977003043,1.37228598896427,"parks"
68,103.756359994439,1.31555999669294,"parks"
69,103.75860600478,1.36063898092479,"parks"
70,103.789162176587,1.30558122667376,"parks"
71,103.707875996198,1.33801700926634,"parks"
72,103.757667999449,1.32250399598282,"parks"
73,103.758450004373,1.31425397832238,"parks"
74,103.698636002705,1.35423700663436,"parks"
75,103.751410997398,1.38954898021615,"parks"
76,103.765471994671,1.34754399774384,"parks"
77,103.773357003454,1.36927001062503,"parks"
78,103.805723997797,1.39974901320673,"parks"
79,103.8184459979,1.40003198984827,"parks"
80,103.822383993324,1.40087098567589,"parks"
81,103.80483399736,1.27987700300301,"parks"
82,103.824027002227,1.28761700771254,"parks"
83,103.767616991901,1.29893400799437,"parks"
84,103.762026993326,1.30899499439468,"parks"
85,103.762999956965,1.29615329873174,"parks"
86,103.790721343478,1.29961302753491,"parks"
87,103.769495005402,1.37224501547955,"parks"
88,103.768537003146,1.35740900815882,"parks"
89,103.748433001808,1.38913899170983,"parks"
90,103.763644994757,1.37163501891167,"parks"
91,103.763605995133,1.30780800245289,"parks"
92,103.768867997661,1.32794501705898,"parks"
93,103.771884003432,1.37321500854805,"parks"
94,103.757240001981,1.37589003353554,"parks"
95,103.718593996798,1.34007298363987,"parks"
96,103.788029366525,1.30611310021726,"parks"
97,103.69290199957,1.33748498597278,"parks"
98,103.756069994032,1.35736098423476,"parks"
99,103.760775993338,1.35757800094458,"parks"
100,103.881278002318,1.36407301180073,"parks"
101,103.861743001571,1.35276700416957,"parks"
102,103.829488991841,1.45063801719106,"parks"
103,103.73383399198,1.44435098869543,"parks"
104,103.836845008751,1.4615029860945,"parks"
105,103.884325989939,1.39944798848949,"parks"
106,103.822723028657,1.4055841273393,"parks"
107,103.904814998591,1.4109970215842,"parks"
108,103.826118993934,1.42754499031824,"parks"
109,103.817468667699,1.40115897651427,"parks"
110,103.740057006009,1.43880599266327,"parks"
111,103.835674007799,1.45622201251589,"parks"
112,103.826946179093,1.36002980955599,"parks"
113,103.898646016222,1.37693901170228,"parks"
114,103.832171003957,1.40997400015505,"parks"
115,103.822322000777,1.39803898385092,"parks"
116,103.782058929229,1.44417042427999,"parks"
117,103.839486993379,1.42759699434119,"parks"
118,103.759038994785,1.41651199011886,"parks"
119,103.825350996754,1.42728100396175,"parks"
120,103.84260999229,1.42437600154029,"parks"
121,103.826296008364,1.36906501231608,"parks"
122,103.9154050167,1.40223299924483,"parks"
123,103.769933998893,1.43763301771893,"parks"
124,103.965420009834,1.40868999314912,"parks"
125,103.790318992831,1.28435300657627,"parks"
126,103.834805553003,1.21405833267371,"parks"
