"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"50 BUKIT BATOK WEST AVENUE 8 BUKIT BATOK SECONDARY SCHOOL SINGAPORE 658962",1.348490856493,103.740873704829,"BUKIT BATOK SECONDARY SCHOOL","school"
"10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050",1.28578413756164,103.813023119574,"BUKIT MERAH SECONDARY SCHOOL","school"
"109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676",1.37362179302436,103.769374904025,"BUKIT PANJANG PRIMARY SCHOOL","school"
"111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112",1.33751860013147,103.767243310781,"BUKIT TIMAH PRIMARY SCHOOL","school"
"18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634",1.34586054788695,103.75366641455,"BUKIT VIEW PRIMARY SCHOOL","school"
"16 BUKIT BATOK STREET 21 BUKIT VIEW SECONDARY SCHOOL SINGAPORE 659633",1.3457330554294,103.752226593984,"BUKIT VIEW SECONDARY SCHOOL","school"
"21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714",1.45130467584562,103.815839476605,"CANBERRA PRIMARY SCHOOL","school"
"51 SEMBAWANG DRIVE CANBERRA SECONDARY SCHOOL SINGAPORE 757699",1.45319086315972,103.814203583818,"CANBERRA SECONDARY SCHOOL","school"
"1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621",1.32664424544839,103.882227964852,"CANOSSA CATHOLIC PRIMARY SCHOOL","school"
"1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256",1.27547252623201,103.839962631748,"CANTONMENT PRIMARY SCHOOL","school"
"30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935",1.37246063927999,103.957020286115,"CASUARINA PRIMARY SCHOOL","school"
"9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767",1.3547230747166,103.844874676599,"CATHOLIC HIGH SCHOOL","school"
