"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883",1.27658360696843,103.845936303594,"Tanjong Pagar Centre","shopping mall"
"665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665",1.30617773048079,103.850609985486,"Tekka Centre","shopping mall"
"1 COLEMAN STREET THE ADELPHI SINGAPORE 179803",1.29118502755148,103.85118430851,"The Adelphi","shopping mall"
"290 ORCHARD ROAD THE PARAGON SINGAPORE 238859",1.30387230879994,103.835857545469,"The Paragon","shopping mall"
"302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732",1.28645889472825,103.827015256194,"Tiong Bahru Plaza","shopping mall"
"4 MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576385",1.35436282723449,103.83030941613,"Thomson Plaza","shopping mall"
"101 THOMSON ROAD UNITED SQUARE SINGAPORE 307591",1.31719450988559,103.843611443038,"United Square","shopping mall"
"501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880",1.30467628730252,103.830642027577,"Wheelock Place","shopping mall"
"435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877",1.30370477426147,103.833205752808,"Wisma Atria","shopping mall"
"20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984",1.32694504456951,103.846554377679,"Zhongshan Mall","shopping mall"
"2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509",1.35236829566862,103.943812302253,"Century Square","shopping mall"
"3 TAMPINES CENTRAL 1 TAMPINES PLAZA 1 SINGAPORE 529540",1.35270160272274,103.942903567808,"Tampines 1","shopping mall"
"4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510",1.35252737278519,103.944698751072,"Tampines Mall","shopping mall"
"1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523",1.35313359828812,103.940408135311,"Our Tampines Hub","shopping mall"
"5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038",1.33403637902708,103.962917615531,"Changi City Point","shopping mall"
"DOWNTOWN EAST",1.37777584209542,103.95477359289,"Downtown East","shopping mall"
"445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661",1.32611970329469,103.929554495615,"Djitsun Mall Bedok","shopping mall"
"3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833",1.34270592355576,103.953024618234,"Eastpoint Mall","shopping mall"
"311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360",1.32473632784728,103.929256259998,"Bedok Mall","shopping mall"
"799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351",1.32496142991054,103.932360131921,"Bedok Point","shopping mall"
"60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051",1.31881487007651,103.892580778514,"Paya Lebar Square","shopping mall"
"865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844",1.3040973115095,103.901515916971,"Katong Shopping Centre","shopping mall"
